"end_station_name","e_station_uid","avg_lat","avg_lng","instances"
"Halsted St & Polk St",1765,"41.87184001950537","-87.64664002937951","16290"
"Rush St & Cedar St",1650,"41.90230871190515","-87.62769063333212","16253"
"State St & 33rd St",326,"41.83473398432236","-87.62581284197992","16038"
"Halsted St & Wrightwood Ave",1856,"41.92914292765591","-87.64907687431932","15878"
"Sheridan Rd & Irving Park Rd",274,"41.9542449963629","-87.65440601044841","15700"
"Adler Planetarium",382,"41.86609500000349","-87.60726700001051","15695"
"Kimbark Ave & 53rd St",1844,"41.7994778274082","-87.59478948216035","15404"
"Stockton Dr & Wrightwood Ave",350,"41.93131996043201","-87.63874217256968","15250"
"Sheffield Ave & Wellington Ave",1753,"41.93625280401623","-87.65266192585949","15183"
"State St & Kinzie St",268,"41.88937551106025","-87.62707664192001","15159"
"Sheffield Ave & Wrightwood Ave",1833,"41.92871201918149","-87.65383315008715","15143"
"Rush St & Superior St",396,"41.8957647456403","-87.62590803271262","15136"
"Sheffield Ave & Webster Ave",1841,"41.92154000000293","-87.65381799999491","15029"
"Aberdeen St & Jackson Blvd",309,"41.87772618097467","-87.65478759037634","14994"
"Franklin St & Monroe St",1823,"41.88031709408206","-87.63518501325645","14986"
"Broadway & Belmont Ave",351,"41.94010599999583","-87.64545099999718","14976"
"Pine Grove Ave & Irving Park Rd",1804,"41.95438299999742","-87.64804300000995","14948"
"Mies van der Rohe Way & Chestnut St",395,"41.898586612935965","-87.62191522253278","14909"
"Clarendon Ave & Gordon Ter",375,"41.95786653148533","-87.64950514507758","14724"
"Franklin St & Illinois St",1687,"41.89102347338445","-87.6354795184732","14720"
"Clark St & Winnemac Ave",1842,"41.973347640477584","-87.6678554713726","14594"
"Broadway & Sheridan Rd",365,"41.95283299665612","-87.64999299455867","14374"
"Clark St & Wellington Ave",1774,"41.93649680611631","-87.6475386648832","14367"
"Halsted St & Dickens Ave",318,"41.9199360000097","-87.64882999999925","14261"
"Lincoln Park Conservatory",1682,"41.92393131136653","-87.63582453131676","14185"
"Mies van der Rohe Way & Chicago Ave",370,"41.896944626369816","-87.62175768613815","14145"
"MLK Jr Dr & 29th St",1776,"41.84205231134005","-87.61700005836383","14144"
"Sheridan Rd & Montrose Ave",1758,"41.96166999999628","-87.654639999997","14138"
"Bissell St & Armitage Ave*",1866,"41.91829554898025","-87.65218319761341","14130"
"Wabash Ave & 9th St",1825,"41.870769184644146","-87.62573414253285","14081"
"Sedgwick St & Huron St",1755,"41.89466599473363","-87.63843694756335","14059"
"Milwaukee Ave & Grand Ave",262,"41.891578192588184","-87.6483841787558","14025"
"Wabash Ave & Wacker Pl",1772,"41.88687502366549","-87.62603023441265","13835"
"Sedgwick St & Webster Ave",317,"41.92216696397809","-87.6388879400832","13532"
"Sedgwick St & North Ave",1748,"41.91138298756363","-87.63867585006969","13507"
"Cityfront Plaza Dr & Pioneer Ct",380,"41.890572930286254","-87.62207209935845","13344"
"Sheffield Ave & Kingsbury St",306,"41.910522016763494","-87.65310614916785","13340"
"Lakefront Trail & Bryn Mawr Ave",408,"41.98404411519115","-87.65228122472763","13286"
"Wood St & Milwaukee Ave",328,"41.90765493804314","-87.67255171679228","13257"
"Michigan Ave & Jackson Blvd",1819,"41.87791953558281","-87.62415747943707","13250"
"Field Blvd & South Water St",397,"41.8863490305939","-87.6175172841528","13133"
"Desplaines St & Jackson Blvd",399,"41.87811883049163","-87.64394758932032","13031"
"Ogden Ave & Chicago Ave",1716,"41.89636251438654","-87.65406049327568","12952"
"Racine Ave & Fullerton Ave",1742,"41.92556645819615","-87.65841602562054","12865"
"Morgan St & Lake St*",1869,"41.88549170442737","-87.65228927329312","12613"
"Calumet Ave & 33rd St",327,"41.83489989291152","-87.61793008247068","12548"
"Michigan Ave & 14th St",1766,"41.86405901481056","-87.62372729729219","12517"
"Dayton St & North Ave",271,"41.91057807237765","-87.6494219566841","12393"
"Wilton Ave & Diversey Pkwy",1738,"41.93241800000398","-87.65270500000395","12369"
"Sangamon St & Lake St",1739,"41.88577912141848","-87.65102441435272","12355"
"Aberdeen St & Randolph St",478,"41.88411399534043","-87.65426390669234","12304"
"Honore St & Division St",1723,"41.90311900000249","-87.67393500000064","12281"
"Clark St & North Ave",293,"41.911974001047014","-87.63194203034524","12236"
"Clark St & Grace St",1768,"41.95078002501573","-87.6591720076197","12222"
"Broadway & Wilson Ave",278,"41.965220999997584","-87.65813900000316","12219"
"900 W Harrison St",260,"41.8747539596827","-87.64980693839816","12176"
"Milwaukee Ave & Wabansia Ave",334,"41.91261599789474","-87.68139099940119","12145"
"Buckingham Fountain",400,"41.87321092723751","-87.6221988965062","11985"
"Canal St & Jackson Blvd",300,"41.878004527478076","-87.6398058044624","11972"
"Burling St & Diversey Pkwy",1843,"41.93313999999959","-87.64776000000393","11966"
"Wabash Ave & Adams St",1578,"41.879472551530135","-87.62568873949002","11949"
"Clark St & Chicago Ave",361,"41.896749823532275","-87.63088927390538","11908"
"California Ave & Milwaukee Ave",283,"41.922694581948946","-87.69715227161468","11896"
"Southport Ave & Wellington Ave",1747,"41.93577460968627","-87.66360014634388","11877"
"Clark St & Berwyn Ave",1658,"41.978030622492085","-87.66856491565704","11765"
"Damen Ave & Cortland St",295,"41.91598299940621","-87.6773349999235","11714"
"Shore Dr & 55th St",1798,"41.79521186574819","-87.58071544139159","11632"
"Clarendon Ave & Junior Ter",376,"41.96100400701231","-87.64960298621604","11548"
"Elizabeth St & Randolph St",652,"41.88433599999749","-87.65890200000119","11544"
"Franklin St & Chicago Ave",257,"41.896749511744225","-87.63566786835744","11477"
"Ritchie Ct & Banks St",1651,"41.90686599254556","-87.62621701935912","11368"
"Clifton Ave & Armitage Ave",1790,"41.91821600000131","-87.65693599999639","11346"
"Canal St & Monroe St",270,"41.88198425238403","-87.63958105118967","11340"
"Racine Ave & Belmont Ave",1802,"41.93974284604677","-87.65886500405047","11276"
"Rush St & Hubbard St",1599,"41.89017297034898","-87.6261849706538","11207"
"May St & Taylor St",311,"41.86954697650626","-87.65467462737996","11196"
"Michigan Ave & Madison St",264,"41.882134015319004","-87.62512497874629","11167"
"Wells St & Randolph St",1720,"41.88429520537496","-87.6339625146079","11125"
"Damen Ave & Chicago Ave",294,"41.895769023634","-87.67721999018009","11031"
"Lincoln Ave & Diversey Pkwy",1756,"41.93222503735384","-87.6586169902873","11011"
"Stetson Ave & South Water St",1807,"41.886835000004105","-87.6223200000075","10952"
"Wells St & Polk St",1702,"41.87273161685564","-87.63351649252627","10937"
"LaSalle Dr & Huron St",1680,"41.894877000006005","-87.63232600000937","10930"
"Halsted St & Maxwell St",1818,"41.864883096031825","-87.64707106182689","10929"
"Franklin St & Adams St (Temp)",1824,"41.87943444413835","-87.63550431300911","10848"
"Southport Ave & Wrightwood Ave",1760,"41.92877281629843","-87.6639129506309","10742"
"Elston Ave & Cortland St",1726,"41.9164332700083","-87.66674646658637","10611"
"Michigan Ave & Pearson St",263,"41.89765981722018","-87.62351016167098","10595"
"Southport Ave & Belmont Ave",330,"41.93947775039984","-87.6637476682663","10570"
"Burnham Harbor",403,"41.857411913192294","-87.613791573794","10550"
"Wells St & Walton St",1735,"41.899929244295045","-87.63443016672139","10491"
"Lincoln Ave & Melrose St",1847,"41.94060000000151","-87.66943499999473","10452"
"Kedzie Ave & Milwaukee Ave",284,"41.929432768416426","-87.70789788390977","10346"
"Sheridan Rd & Buena Ave",1837,"41.958493999998126","-87.65496600000168","10241"
"Halsted St & Willow St",1792,"41.9138650000024","-87.64875499998976","10202"
"Woodlawn Ave & 55th St",1791,"41.7952641799133","-87.59647101144363","9939"
"Clark St & Leland Ave",1828,"41.967087791452265","-87.66729083644802","9932"
"Larrabee St & Division St",1624,"41.90348571211268","-87.64335370656066","9861"
"Michigan Ave & 18th St",305,"41.85789802164306","-87.6243895956951","9810"
"Dearborn St & Adams St",1709,"41.8793562725639","-87.62979094959498","9785"
"Lake Park Ave & 56th St",1857,"41.7932420115604","-87.58778199048244","9775"
"Wacker Dr & Washington St",1617,"41.88314336245029","-87.63724258098823","9773"
"Field Museum",261,"41.865312133367034","-87.61786719200771","9732"
"Carpenter St & Huron St",321,"41.894556181626825","-87.6534489202289","9729"
"Ogden Ave & Race Ave",320,"41.89179480015291","-87.6587508640851","9644"
"Aberdeen St & Monroe St",308,"41.880418997744684","-87.65551900661737","9577"
"Green St & Randolph St*",1868,"41.88360277281307","-87.64862520228687","9428"
"Western Ave & Winnebago Ave",275,"41.91552000045848","-87.68702199578979","9392"
"Blackstone Ave & 59th St",650,"41.78787699999718","-87.59046099999885","9360"
"Greenview Ave & Fullerton Ave",1745,"41.92532999999839","-87.6658000000027","9353"
"Sheffield Ave & Willow St",1744,"41.91368810876364","-87.65285478715379","9284"
"Damen Ave & Division St",298,"41.90326600022599","-87.67843487256569","9149"
"Calumet Ave & 18th St",289,"41.85761766153366","-87.61941152537193","9103"
"Woodlawn Ave & 58th St",648,"41.78938099999704","-87.59647900001848","8907"
"Orleans St & Hubbard St",1182,"41.89002769184504","-87.63661795171403","8894"
"Larrabee St & Oak St",1643,"41.900219302400735","-87.64298546504476","8871"
"Lincoln Ave & Roscoe St*",1870,"41.94335025600033","-87.67066749699518","8840"
"Green St & Washington Blvd",269,"41.883181311637856","-87.6487245797752","8823"
"Wolcott Ave & Polk St",1858,"41.87126204452701","-87.67368792206331","8690"
"Paulina St & Flournoy St",1637,"41.87306108789531","-87.66913488507271","8671"
"Ellis Ave & 58th St",1826,"41.788746000001986","-87.6013340000045","8608"
"Sangamon St & Washington Blvd",378,"41.88316515120294","-87.65109979849598","8580"
"Jefferson St & Monroe St",1862,"41.88032975095535","-87.64274639081589","8517"
"Financial Pl & Ida B Wells Dr",1701,"41.875023500853814","-87.63309416843961","8393"
"Wabash Ave & 16th St",1703,"41.86038485688802","-87.6258132648669","8362"
"Clark St & Bryn Mawr Ave",1662,"41.983592779569136","-87.66915391444213","8309"
"LaSalle St & Washington St",253,"41.88266400000213","-87.63253000000154","8276"
"State St & Van Buren St",1724,"41.87718125783489","-87.62784412105732","8196"
"Larrabee St & Armitage Ave",1822,"41.91808400662202","-87.64374899481545","8125"
"Eckhart Park",355,"41.896373109782715","-87.6609839702786","8014"
"Desplaines St & Randolph St",398,"41.88370352803274","-87.64423802912602","8011"
"Streeter Dr/Grand Ave",1685,"41.8924009999994","-87.61238800000592","7995"
"State St & Pearson St",1754,"41.89744799912989","-87.6287219326128","7995"
"Cornell Ave & Hyde Park Blvd",1571,"41.80240600000194","-87.5869240000026","7983"
"Rhodes Ave & 32nd St",325,"41.8362079999965","-87.61353299999713","7946"
"Ashland Ave & Blackhawk St",329,"41.907065520001055","-87.66725186325732","7936"
"Throop St & Taylor St",301,"41.868967812602406","-87.65914099490803","7906"
"Wood St & Chicago Ave",1184,"41.89563377226155","-87.6720690003956","7836"
"Southport Ave & Irving Park Rd",1848,"41.95417699034825","-87.66435799923106","7820"
"Orleans St & Chestnut St (NEXT Apts)",1161,"41.898202837631125","-87.63753594740157","7812"
"Damen Ave & Thomas St (Augusta Blvd)",1757,"41.9013149858557","-87.67740899101143","7790"
"Ada St & Washington Blvd",373,"41.88282999999893","-87.66120600000987","7786"
"Clark St & Ida B Wells Dr",1711,"41.8759326655043","-87.63058453549529","7735"
"Broadway & Argyle St",290,"41.97398589556524","-87.6597067276106","7629"
"Racine Ave & Wrightwood Ave",1855,"41.928886773077174","-87.65897091776262","7617"
"Lakefront Trail & Wilson Ave",1188,"41.96614062297007","-87.64469763947808","7588"
"Paulina Ave & North Ave",1725,"41.909854652164235","-87.66993016004562","7584"
"Southport Ave & Clybourn Ave",1839,"41.92119601809928","-87.6651492524443","7577"
"Halsted St & Roosevelt Rd",1715,"41.86732370813703","-87.64862478905043","7573"
"Fairbanks St & Superior St",472,"41.89574784773931","-87.62010413335136","7528"
"Broadway & Berwyn Ave",291,"41.978360999998756","-87.65978899999784","7515"
"Clark St & Montrose Ave",1583,"41.961587930171184","-87.66603585074893","7511"
"State St & Harrison St",1698,"41.87405269232406","-87.62771597710628","7509"
"Noble St & Milwaukee Ave",356,"41.9006990953465","-87.6626054158878","7363"
"McCormick Place",1708,"41.8513755997352","-87.61883576364158","7333"
"Lake Park Ave & 53rd St",1609,"41.799494293730106","-87.58644989590584","7273"
"Ashland Ave & Wellington Ave",348,"41.93608300000075","-87.66980700000778","7195"
"Walsh Park",479,"41.9146099491306","-87.66796815431596","7165"
"Sheridan Rd & Argyle St",272,"41.97328682025862","-87.65475958585739","7152"
"Elizabeth St & Fulton St",322,"41.88679449947897","-87.65913841745594","7138"
"Clinton St & Roosevelt Rd",1861,"41.86711777796202","-87.64108831108908","7087"
"Marine Dr & Ainslie St",1673,"41.97159999999839","-87.6501539999947","7080"
"Western Ave & Leland Ave",1777,"41.96639980183805","-87.68870428204536","7075"
"Broadway & Granville Ave",406,"41.99477968839713","-87.66028453490809","7052"
"Ashland Ave & Grace St",364,"41.950686748601086","-87.6686992479161","7015"
"Ashland Ave & Chicago Ave",336,"41.89595438417278","-87.66772779305725","6959"
"Broadway & Thorndale Ave",407,"41.98974251144271","-87.66014062089464","6909"
"Racine Ave & Congress Pkwy",1741,"41.87465178778615","-87.65704621235746","6873"
"Michigan Ave & Ida B Wells Dr",1712,"41.87610458716831","-87.62433844504974","6817"
"Clarendon Ave & Leland Ave",1763,"41.96796800000256","-87.65000099999199","6716"
"Racine Ave & 18th St",314,"41.858307199397","-87.65645127450715","6693"
"Winthrop Ave & Lawrence Ave",1803,"41.968812014100564","-87.65765899179088","6679"
"Western Ave & Walton St",1636,"41.898417689451826","-87.68659601639958","6625"
"Larrabee St & North Ave",1732,"41.91020949028593","-87.64349998799868","6588"
"Cannon Dr & Fullerton Ave",292,"41.92675598749664","-87.63442878479434","6552"
"Clinton St & Tilden St",265,"41.875884993671086","-87.64079519026502","6495"
"Ashland Ave & Augusta Blvd",337,"41.89964300000416","-87.66769999999366","6487"
"Sheridan Rd & Lawrence Ave",1846,"41.969517000000785","-87.65469100000276","6476"
"Hermitage Ave & Polk St",280,"41.871514124260514","-87.6698860582073","6432"
"Damen Ave & Leland Ave",1786,"41.9669947241931","-87.67891223739034","6403"
"Delano Ct & Roosevelt Rd",1678,"41.86749100068557","-87.63218975053546","6349"
"Greenview Ave & Diversey Pkwy",358,"41.93258963429412","-87.66593635082245","6335"
"University Ave & 59th St",649,"41.78787800000236","-87.59890600001418","6303"
"Loomis St & Jackson Blvd",323,"41.877944999997304","-87.66200700000464","6299"
"Wells St & Institute Pl",647,"41.89737986072021","-87.63442039489746","6295"
"Leavitt St & Armitage Ave",1838,"41.91780500000169","-87.68243700000315","6291"
"Wood St & Augusta Blvd",1219,"41.8991809999935","-87.67219999998791","6236"
"Wentworth Ave & Cermak Rd*",1865,"41.853214418519705","-87.63187229633331","6213"
"Canal St & Taylor St",405,"41.87025700000157","-87.63947400000053","6192"
"Ravenswood Ave & Irving Park Rd",1781,"41.95469000000591","-87.6739299999944","6155"
"Lincoln Ave & Sunnyside Ave",1785,"41.96300397026475","-87.68478099306995","6127"
"Seeley Ave & Roscoe St",303,"41.943403000004686","-87.67961799999549","6036"
"Damen Ave & Charleston St",354,"41.92008199999773","-87.67785500000362","5923"
"Benson Ave & Church St",1132,"42.04821400000333","-87.68348499999048","5917"
"Ashland Ave & Wrightwood Ave",359,"41.9288299999979","-87.66850700000526","5853"
"Morgan St & 18th St",313,"41.85808603242407","-87.65107388109378","5842"
"California Ave & Cortez St",471,"41.90036299999541","-87.69670400000169","5807"
"Sheridan Rd & Noyes St (NU)",1143,"42.058239000003724","-87.67743199999707","5789"
"Campbell Ave & North Ave",341,"41.91053497694383","-87.6895558756012","5781"
"Spaulding Ave & Armitage Ave",429,"41.91710803479441","-87.71022096276283","5769"
"Blue Island Ave & 18th St",297,"41.85755618104188","-87.66153498241863","5753"
"Broadway & Ridge Ave",409,"41.98404461069777","-87.66027382948998","5750"
"N Green St & W Lake St",558,"41.88557900120885","-87.64848398761646","5731"
"Orleans St & Elm St",1730,"41.90292398927131","-87.63771523828059","5719"
"Wolcott (Ravenswood) Ave & Montrose Ave",1780,"41.961405999998775","-87.67616899999958","5710"
"State St & 35th St",1770,"41.83103633142111","-87.62679759102956","5691"
"Wood St & Taylor St (Temp)",353,"41.869265248633965","-87.67373084312307","5568"
"Racine Ave & Washington Blvd",1214,"41.88307298750439","-87.65695198604942","5534"
"Wilton Ave & Diversey Pkwy*",1867,"41.93241799757266","-87.65270507067265","5497"
"Clark St & 9th St (AMLI)",1700,"41.8708151340244","-87.63124578404224","5491"
"Larrabee St & Menomonee St",1731,"41.914679999995414","-87.64331999998964","5489"
"Damen Ave & Grand Ave",1796,"41.892394037693094","-87.67688511591766","5477"
"Emerald Ave & 31st St",1853,"41.83819799999891","-87.64514300000135","5444"
"Dearborn St & Van Buren St",1167,"41.876268081617376","-87.62915498722944","5439"
"Ellis Ave & 53rd St",1605,"41.799336262611355","-87.60095811449662","5433"
"Western Ave & Division St",332,"41.9028929999999","-87.68727499999746","5432"
"Paulina St & Montrose Ave",1832,"41.96150667366979","-87.67138751264392","5426"
"Blackstone Ave & Hyde Park Blvd",377,"41.80256199999762","-87.59036799999087","5423"
"Logan Blvd & Elston Ave",1808,"41.9294649999978","-87.68415799999563","5423"
"Ashland Ave & Grand Ave",384,"41.891072003991994","-87.66661037979948","5396"
"LaSalle St & Adams St",1594,"41.87934437346099","-87.63198522129721","5338"
"Leavitt St & Chicago Ave",477,"41.89550099999835","-87.68201699999699","5313"
"Chicago Ave & Sheridan Rd",1560,"42.05049099221357","-87.67782100185126","5284"
"Damen Ave & Wellington Ave",347,"41.935880000002875","-87.67842000000718","5265"
"Lincoln Ave & Belle Plaine Ave",1836,"41.956003550787024","-87.68016144633293","5253"
"Clybourn Ave & Division St",1761,"41.90461284062107","-87.6405522702852","5231"
"Leavitt St & North Ave",1795,"41.91046418936322","-87.68231266557638","5225"
"Fort Dearborn Dr & 31st St*",1864,"41.83867632897305","-87.60883212089539","5204"
"Albany Ave & Bloomingdale Ave",434,"41.914026712732415","-87.70512646200176","5119"
"Stave St & Armitage Ave",346,"41.917740999999545","-87.69139200000136","5073"
"Wentworth Ave & Cermak Rd",279,"41.85308455741322","-87.63193130493164","5029"
"Calumet Ave & 21st St",404,"41.85418427354731","-87.61915374950229","4891"
"Ashland Ave & Lake St",277,"41.88592000000057","-87.66716999999599","4862"
"Humboldt Blvd & Armitage Ave",430,"41.91751339399303","-87.70180895550578","4859"
"Damen Ave & Clybourn Ave",349,"41.93193097296096","-87.6778560509686","4854"
"Shields Ave & 31st St",1595,"41.83846400000037","-87.63540600000206","4785"
"Lincoln Ave & Byron St",653,"41.95237199999976","-87.67729600000514","4750"
"Drexel Ave & 60th St",651,"41.785860999997844","-87.60455300000324","4746"
"Leavitt St & Belmont Ave",1677,"41.93935400000144","-87.68328200000816","4703"
"Paulina St & 18th St",1787,"41.85790100000232","-87.66874499999221","4666"
"Wood St & Hubbard St",383,"41.889886425827434","-87.67150725230785","4647"
"Sheridan Rd & Loyola Ave",1695,"42.00104377978964","-87.66119824329859","4646"
"Lincoln Ave & Waveland Ave",339,"41.94879699999815","-87.67527800000572","4585"
"Morgan Ave & 14th Pl",1728,"41.86237802262982","-87.6510610784641","4549"
"Kedzie Ave & Palmer Ct",357,"41.92152499999889","-87.70732200000157","4544"
"California Ave & Francis Pl",343,"41.91849115368678","-87.69742280244827","4541"
"Sedgwick St & Schiller St",1779,"41.907626165754905","-87.638565996687","4479"
"Griffin Museum of Science and Industry",1619,"41.7917282095296","-87.5839450090037","4435"
"Indiana Ave & 31st St",1810,"41.838841999998344","-87.621856999996","4416"
"Halsted St & 18th St",288,"41.85750568032105","-87.64599144458771","4375"
"Ravenswood Ave & Berteau Ave",1830,"41.957920999997235","-87.67356700000086","4365"
"Damen Ave & Melrose Ave",302,"41.940600000001375","-87.67850000000111","4359"
"Artesian Ave & Hubbard St",435,"41.88949999999897","-87.68825700000149","4267"
"Leavitt St & Division St",1220,"41.9029969999985","-87.68382499999545","4266"
"Glenwood Ave & Morse Ave",1674,"42.00797192286774","-87.66550239439559","4163"
"Western Ave & Fillmore St",1196,"41.8685629999985","-87.6862340000023","4129"
"Morgan St & 31st St",1814,"41.83779999999949","-87.6511400000015","4113"
"Lincoln Ave & Addison St",1850,"41.94617599999892","-87.67330799999837","4096"
"California Ave & North Ave",342,"41.91004400000041","-87.69716700000092","4095"
"Clark St & Lunt Ave",1669,"42.00901118057894","-87.67411172389984","4039"
"Damen Ave & Foster Ave",1661,"41.9755364885534","-87.68016617813129","3986"
"California Ave & Division St",340,"41.9030290024354","-87.697474001882","3968"
"California Ave & Altgeld St",427,"41.9266899999959","-87.69766800000374","3967"
"Damen Ave & Sunnyside Ave",1827,"41.963250000000606","-87.67925799999489","3892"
"Clark St & Elmdale Ave",1660,"41.99086044812797","-87.66972362995148","3878"
"Milwaukee Ave & Rockwell St",333,"41.920195270520864","-87.69265874019275","3878"
"Wabash Ave & Cermak Rd",1705,"41.852619011242474","-87.62648799688917","3830"
